259; 12%, 15%, —, 4%, 1%, 17%, 2%, 21%, 12%, 5%, —, Other 1% Other/Not Sure 10%, 
202; 16%, 7%, 8%, 6%, —, 1%, 8%, 2%, 1%, 6%, 1%, 5%, 2%, 18%, Other 1% Wouldn't vote 2% Undecided 17%, 
145; 10%, 5%, 4%, 4%, 1%, 0%, 1%, 7%, 1%, 4%, 0%, 5%, 2%, 6%, 2%, 21%, 8%, Uncommitted 6% Not sure 12%, 
130; 9%, 11%, 2%, 7%, 3%, 0%, 0%, 7%, 0%, 3%, 0%, 3%, 2%, 7%, 1%, 16%, 5%, Undecided: 24%, 
26; 7%, 11%, 3%, 14%, 3%, 0%, 1%, 5%, 2%, 0%, 3%, 10%, 0%, 36%, Wouldn't vote 6%, 
258; 10%, 14%, —, 3%, —, 15%, —, 19%, 17%, —, 2%, Bob McDonnell 1% Other 1% Other/Not Sure 18%, 
214b;  14%, 11%, 9%, 7%, 10%, 1%, 3%, 8%, 5%, —, 3%, 9%, 2%, 5%, Mike Pence 1% Rob Portman 0% Other 6% None/No one 2% Undecided 4%, 
203; 13%, 8%, 9%, 6%, —, —, 7%, 3%, 1%, 9%, 3%, 5%, 2%, 10%, Others/No preference 26%, 
144; 15%, 7%, 3%, 6%, 2%, 0%, 0%, 6%, 1%, 3%, 0%, 5%, 1%, 5%, 2%, 26%, 9%, Other 1% None of the above 1% Don't know 7%, 
131; 9%, 11%, 3%, 7%, 6%, 1%, 0%, 3%, 1%, 4%, 0%, 0%, 3%, 9%, 1%, 25%, 9%, Other 1% Undecided 7%, 
27; 7%, 10%, 3%, 9%, 3%, —, 1%, 3%, 2%, 1%, 3%, 7%, 1%, 40%, Someone Else 1% Don't Know 11%, 
200; 16%, 9%, 7%, 4%, 0%, 1%, 10%, 1%, 2%, 12%, 4%, 7%, 1%, 13%, Other 4% None/No one 6% No opinion 3%, 
147; 13%, 6%, 3%, 6%, 0%, 1%, 0%, 8%, 2%, 1%, 1%, 4%, 2%, 6%, 1%, 24%, 10%, Someone Else 1% None of them 3% Don't know/No answer 9%, 
132; 12%, 7%, 4%, 5%, 4%, —, 1%, 6%, 1%, 3%, 0%, 4%, 2%, 6%, 1%, 32%, 3%, Other 0% Undecided 11%, 
24; 7%, 6%, 5%, 18%, 4%, 0%, 1%, 4%, 2%, 0%, 2%, 13%, 1%, 34%, Undecided 2%, 
201; 19%, 9%, 6%, 4%, 2%, 1%, 10%, —, —, 7%, 3%, 5%, 2%, 18%, Undecided 13%, 
146; 12%, 5%, 4%, 6%, 2%, 0%, 1%, 6%, 1%, 3%, 0%, 4%, 2%, 4%, 1%, 26%, 11%, Undecided/No one 11%, 
133; 13%, 8%, 4%, 5%, 5%, 0%, 0%, 4%, 0%, 5%, 0%, 6%, 2%, 7%, 1%, 24%, 7%, Someone else 4% None/No One 5% No opinion 1%, 
98; 8%, 13%, 1%, 6%, 13%, —, 1%, 2%, 1%, 2%, 0%, 2%, 9%, 0%, 23%, Other 1% Undecided 18%, 
25; 7%, 12%, 2%, 11%, 2%, —, —, —, —, —, 3%, 9%, —, 36%, Someone else 7% Don't Know 11%, 
206; 10%, 9%, 4%, 4%, 1%, 11%, 2%, 1%, 11%, 4%, 21%, 5%, 1%, 8%, Other 1% None 4% Undecided 5%, 
178; 15%, 6%, 2%, 7%, 5%, 1%, 9%, 1%, 3%, 0%, 10%, 2%, 8%, 3%, —, 12%, Other 2% No preference 14%, 
141; 17%, 6%, 2%, 6%, 2%, 0%, 0%, 5%, 1%, 1%, 2%, 5%, 2%, 4%, 1%, 25%, 9%, Not Sure/Someone Else 12%, 
